LICENSE_NO,BUSINESS_NAME,LEGAL_STRUCTURE,LICENSE_TYPE,RECORD_STATUS,EXPIRATION_DATE,EXPIRATION_STATUS,MUNICIPALITY,MANAGER_NAME,DBA,OFF_CATEGORY,ON_CATEGORY,OFF_TYPE,ON_TYPE,LICENSEE_CLASS,TRANSFER_FROM,TRANSFER_METHOD,LIC_HISTORY_BUSINESS_NAME,LICENSE_ISSUE_DATE,SPECIAL_LEGISLATION,CHAPTER,OF_THE_ACT,ST_NO,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,FULL_PREMISE_ADDRESS,BUSINESS_ADDRESS
00011-CL-0002,Columbus Club Of Abington Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,William Sampson,KNIGHTS OF COLUMBUS,,All Alcoholic Beverages,,Club,Annual,,,,25946.0,No,,,254,Hancock Street,,Abington,MA,02351,"254 Hancock Street , Abington, MA 02351","254 Hancock Street , Abington, MA 02351"
00024-PK-0002,R F Owens Co Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,William M Trucchi,TRUCCHIS SUPERMARKET,Wines and Malt,,Package Store,,Annual,,,,27655.0,No,,,858,Bedford Street,,Abington,MA,02351,"858 Bedford Street , Abington, MA 02351","858 Bedford Street , Abington, MA 02351"
00021-VC-0002,Lewis V Dorsey Post 112 Am Leg Abington Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Charles F Whitman,,,All Alcoholic Beverages,,Veterans Club,Annual,,,,30635.0,No,,,1027,Washington Street,P O Box 2016,Abington,MA,02351,"1027 Washington Street P O Box 2016, Abington, MA 02351","1027 Washington Street , P O Box 2016, Abington, MA 02351"
00002-RS-0002,For Petes Sake Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Michael Costa,THE ABINGTON ALE HOUSE,,All Alcoholic Beverages,,Restaurant,Annual,,,,35319.0,No,,,1235,Bedford Street,,Abington,MA,02351,"1235 Bedford Street , Abington, MA 02351","1235 Bedford Street , Abington, MA 02351"
00007-RS-0002,Han Lee Group Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Matthew V Hanley,J P RYANS TAVERN,,All Alcoholic Beverages,,Restaurant,Annual,,,,38611.0,No,,,246,Brockton Avenue,,Abington,MA,02351,"246 Brockton Avenue , Abington, MA 02351","246 Brockton Avenue , Abington, MA 02351"
00030-PK-0002,Smartstop Convenience Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Baldevbhai N Patel,,Wines and Malt,,Package Store,,Annual,,,,39381.0,No,,,270,North Avenue,,Abington,MA,02351,"270 North Avenue , Abington, MA 02351","270 North Avenue , Abington, MA 02351"
00050-RS-0002,Mia Regazza,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,John J Martin,MIA REGAZZA,,All Alcoholic Beverages,,Restaurant,Annual,,,,39477.0,No,,,268,Washington Street,,Abington,MA,02351,"268 Washington Street , Abington, MA 02351","268 Washington Street , Abington, MA 02351"
00015-RS-0002,Cellar Tavern Group LLC,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Nathan Elliott,THE CELLAR,,All Alcoholic Beverages,,Restaurant,Annual,,,,39854.0,No,,,221,221 North Avenue,,Abington,MA,02351,"221 221 North Avenue , Abington, MA 02351","221 221 North Avenue , Abington, MA 02351"
00061-RS-0002,Dotties House Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Paula M Demelo,SPENCERS PIZZA,,Wines and Malt,,Restaurant,Annual,,,,40074.0,No,,,123,Centre Avenue,,Abington,MA,02351,"123 Centre Avenue , Abington, MA 02351","123 Centre Avenue , Abington, MA 02351"
00064-PK-0002,Ravi Corp,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Hansaben K Patel,YOUR CONVENIENT STORE,Wines and Malt,,Package Store,,Annual,,,,40310.0,No,,,800,Brockton Avenue,,Abington,MA,02301,"800 Brockton Avenue , Abington, MA 02301","800 Brockton Avenue , Abington, MA 02301"
00016-RS-0002,Toby And Molly Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,William C Lynch,LYNCHS TAVERN,,All Alcoholic Beverages,,Restaurant,Annual,,,,40674.0,No,,,236,North Avenue,,Abington,MA,02351,"236 North Avenue , Abington, MA 02351","236 North Avenue , Abington, MA 02351"
00066-PK-0002,Zala Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Manjulaben J Patel,JD VARIETY,All Alcoholic Beverages,,Package Store,,Annual,,,,40771.0,No,,,201,North Quincy Street,,Abington,MA,02351,"201 North Quincy Street , Abington, MA 02351","201 North Quincy Street , Abington, MA 02351"
00004-RS-0002,Omoto Garden Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Melody Huang,OMOTO GARDEN,,All Alcoholic Beverages,,Restaurant,Annual,,,,40837.0,No,,,1501,Bedford Street,Unit 11,Abington,MA,02351,"1501 Bedford Street Unit 11, Abington, MA 02351","1501 Bedford Street , Abington, MA 02351"
00027-PK-0002,Sr Package Store Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Prabhudas N Patel,BILLYS LIQUORS,All Alcoholic Beverages,,Package Store,,Annual,,,,40990.0,No,,,760,Brockton Avenue,,Abington,MA,02351,"760 Brockton Avenue , Abington, MA 02351","760 Brockton Avenue , Abington, MA 02351"
00031-PK-0002,Smit Superstore LLC,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Rakesh P Patel,ROUTE 18 SUPERSTORE,Wines and Malt,,Package Store,,Annual,,,,41787.0,No,,,336,Washington Street,,Abington,MA,02351,"336 Washington Street , Abington, MA 02351","336 Washington Street , Abington, MA 02351"
00025-PK-0002,Kanaiyo LLC,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Hemangi Patel,ROSIES LIQUORS AND DELI,All Alcoholic Beverages,,Package Store,,Annual,,,,42136.0,No,,,751,Bedford Street,,Abington,MA,02351,"751 Bedford Street , Abington, MA 02351","751 Bedford Street , Abington, MA 02351"
00032-PK-0002,Shiva Kisha Corp,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Rahul Shah,ABINGTON LIQUORS,All Alcoholic Beverages,,Package Store,,Annual,,,,42548.0,No,,,585,Washington Street,,Abington,MA,02351,"585 Washington Street , Abington, MA 02351","585 Washington Street , Abington, MA 02351"
02715-RS-0002,SORELLE BAR & GRILL INC,Partnership,On Premise Retail,Issued,46387.0,Active,ABINGTON,Andrea Schnell,SORELLE,,All Alcoholic Beverages,,Restaurant,Annual,00003-RS-0002,Gift,Vin And Eddies Inc,42619.0,No,,,1400,Bedford Street,,Abington,MA,02351,"1400 Bedford Street , Abington, MA 02351","1400 Bedford Street , Abington, MA 02351"
03106-PP-0002,Tenth District Brewing LLC,LLC,On Premise Retail,Issued,46387.0,Active,ABINGTON,DANA GEORGE,Tenth District Brewing Co.,,Malt Only,,Farmer Brewery Pouring Permit,Annual,,,,42780.0,No,,,748,Brockton Avenue,,Abington,MA,02351,"748 Brockton Avenue , Abington, MA 02351","748 Brockton Avenue , Abington, MA 02351"
04042-RS-0002,"Yaz's Farmhouse Group, LLC",LLC,On Premise Retail,Issued,46387.0,Active,ABINGTON,Jennifer Yasmine Zakhary,Yaz's Table,,Wines & Malt with Cordial/Liqueurs Permit,,Restaurant,Annual,,,,43217.0,No,,,1209,Bedford Street,B,Abington,MA,02351,"1209 Bedford Street B, Abington, MA 02351","1209 Bedford Street , B, Abington, MA 02351"
04205-RS-0002,"Giardinos, Inc.",Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Joao A. Jardim,Giardinos,,All Alcoholic Beverages,,Restaurant,Annual,,,,43280.0,No,,,497,Bedford Street,,Abington,MA,02351,"497 Bedford Street , Abington, MA 02351","497 Bedford Street , Abington, MA 02351"
04925-GP-0002,Town of Abington,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Donna M. Harty,Strawberry Valley Golf Course,,Wines and Malt,,General On-Premises,Annual,,,,43609.0,No,,,164,Washington Street,,Abington,MA,02351,"164 Washington Street , Abington, MA 02351","164 Washington Street , Abington, MA 02351"
05115-RS-0002,Webster's Timber Lanes Inc.,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,John Pumphrey,LUCI'S PIZZA BAR,,All Alcoholic Beverages,,Restaurant,Annual,00005-RS-0002,,"TIMBER LANES, INC.",43690.0,No,,,460,Bedford Street,,Abington,MA,02351,"460 Bedford Street , Abington, MA 02351","460 Bedford Street , Abington, MA 02351"
05218-RS-0002,SARCASTIC SWINE LLC,LLC,On Premise Retail,Issued,46387.0,Active,ABINGTON,MICHAEL CROOKS,SARCASTIC SWINE BBQ,,Wines and Malt,,Restaurant,Annual,03733-RS-0002,,JJS Living the Dream Inc,43739.0,No,,,988,Bedford Street,,Abington,MA,02351,"988 Bedford Street , Abington, MA 02351","988 Bedford Street , Abington, MA 02351"
07549-RS-0002,TERRA NOSSA CENTER MARKET INC,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,IANE JARDIM,TERRA NOSSACENTER MARKET INC,,All Alcoholic Beverages,,Restaurant,Annual,,,,45072.0,No,,,1501,Bedford Street,Unit 7,Abington,MA,02351,"1501 Bedford Street Unit 7, Abington, MA 02351","1501 Bedford Street , Abington, MA 02351"
07553-RS-0002,MARITIME SERVICES LLC,LLC,On Premise Retail,Issued,46387.0,Active,ABINGTON,MATTHEW O'CONNOR,THE ABINGTON DEPOT,,All Alcoholic Beverages,,Restaurant,Annual,,,,45072.0,No,,,101,Railroad Street,,Abington,MA,02351,"101 Railroad Street , Abington, MA 02351","101 Railroad Street , Abington, MA 02351"
90745-PK-0002,"AB Mart, Inc.",Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Vandana Patel,AB Mart,Wines and Malt,,Package Store,,Annual,00029-PK-0002,,Deval Convenience Inc,45359.0,No,,,852,Hancock Street,,Abington,MA,02351,"852 Hancock Street , Abington, MA 02351","852 Hancock Street , Abington, MA 02351"
08533-RS-0002,ALEX GOOD TASTE RESTAURANT INC,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,JIMMY ARMOND,,,All Alcoholic Beverages,,Restaurant,Annual,,,,45600.0,No,,,1501,Bedford Street,Unit #5,Abington,MA,02351,"1501 Bedford Street Unit #5, Abington, MA 02351","1501 Bedford Street , Unit #5, Abington, MA 02351"
08555-RS-0002,GRIDA BISTRO & LOUNGE LLC,LLC,On Premise Retail,Issued,46387.0,Active,ABINGTON,INGRED L. PHILEMOND,,,All Alcoholic Beverages,,Restaurant,Annual,,,,45611.0,No,,,806,Brockton Avenue,Unit #2,Abington,MA,02351,"806 Brockton Avenue Unit #2, Abington, MA 02351","806 Brockton Avenue , Unit #2, Abington, MA 02351"
09419-RS-0002,ALE RESTAURANT CORP,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,ANWAR LAROUSSI,D'ANN'S,,All Alcoholic Beverages,,Restaurant,Annual,00010-RS-0002,,"RBRC, INC",46050.0,No,,,340,Centre Avenue,,Abington,MA,02351,"340 Centre Avenue , Abington, MA 02351","340 Centre Avenue , Abington, MA 02351"
00011-RS-0006,Jaman Corp,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,John J Manning,CROSSROADS,,All Alcoholic Beverages,,Restaurant,Annual,,,,31993.0,No,,,405,Nagog Square,,Acton,MA,01720,"405 Nagog Square , Acton, MA 01720","405 Nagog Square , Acton, MA 01720"
00024-PK-0006,Donelan's Supermarkets Inc.,Corporation,Off Premise Retail,Issued,46387.0,Active,ACTON,Kathleen M. Roth,Donelan's Supermarket,Wines and Malt,,Package Store,,Annual,,,,35306.0,No,,,248,Great Road,,Acton,MA,01720,"248 Great Road , Acton, MA 01720","248 Great Road , Acton, MA 01720"
00034-RS-0006,Quail Ridge Country Club LLC,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,Michael R Donahue,,,All Alcoholic Beverages,,Restaurant,Annual,,,,38531.0,No,,,999,Skyline Drive,,Acton,MA,01720,"999 Skyline Drive , Acton, MA 01720","999 Skyline Drive , Acton, MA 01720"
00041-RS-0006,Acton Bowladrome Enterprises Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,Lindsey Sundberg,,,Wines and Malt,,Restaurant,Annual,,,,39994.0,No,,,257,Main Street,,Acton,MA,01720,"257 Main Street , Acton, MA 01720","257 Main Street , Acton, MA 01720"
00013-RS-0006,West London Style Pizza Inc.,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,Cassiani N Bottos,NEW LONDON STYLE PIZZA,,Wines and Malt,,Restaurant,Annual,,,,40466.0,No,,,555,Massachusettes Avenue,,Acton,MA,01720,"555 Massachusettes Avenue , Acton, MA 01720","555 Massachusettes Avenue , Acton, MA 01720"
00015-PK-0006,Elm Assoc Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ACTON,Timothy C Bush,COLONIAL SPIRITS,All Alcoholic Beverages,,Package Store,,Annual,,,,40603.0,No,,,87,Great Road,,Acton,MA,01720,"87 Great Road , Acton, MA 01720","87 Great Road , Acton, MA 01720"
00045-PK-0006,Idylwilde Farm Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ACTON,Thomas Napoli,Idylwilde Farms,Wines and Malt,,Package Store,,Annual,,,,41201.0,No,,,366,Central Street,,Acton,MA,01720,"366 Central Street , Acton, MA 01720","366 Central Street , Acton, MA 01720"
00009-RS-0006,Chokdee Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,Tien D Tran,BENJARONG RESTAURANT,,All Alcoholic Beverages,,Restaurant,Annual,,,,41618.0,No,,,214,Main Street,,Acton,MA,01720,"214 Main Street , Acton, MA 01720","214 Main Street , Acton, MA 01720"
00043-RS-0006,Li Fat Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,Zi Ming Tong,SPICEPEPPER GARDEN,,All Alcoholic Beverages,,Restaurant,Annual,,,,41967.0,No,,,36,Great Road,,Acton,MA,01720,"36 Great Road , Acton, MA 01720","36 Great Road , Acton, MA 01720"
00014-RS-0006,Concord Brewery Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,Peter Daniel,RAPSCALLION,,All Alcoholic Beverages,,Restaurant,Annual,,,,42027.0,No,,,5,Strawberry Hill Road,,Acton,MA,01720,"5 Strawberry Hill Road , Acton, MA 01720","5 Strawberry Hill Road , Acton, MA 01720"
00049-RS-0006,7th Settlement South LLC,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,Peter J Henry,TRUE WEST,,All Alcoholic Beverages,,Restaurant,Annual,,,,42234.0,No,,,525,Massachusetts Avenue,,Acton,MA,01720,"525 Massachusetts Avenue , Acton, MA 01720","525 Massachusetts Avenue , Acton, MA 01720"
00026-PK-0006,Vasudav Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ACTON,Bhupeshkumar Patel,RED WHITE BREW WINE AND SPIRITS,All Alcoholic Beverages,,Package Store,,Annual,,,,42284.0,No,,,578,Massachusetts Avenue,,Acton,MA,01720,"578 Massachusetts Avenue , Acton, MA 01720","578 Massachusetts Avenue , Acton, MA 01720"
00033-RS-0006,Indoor Sports Management Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,ETHAN ROBIDOUX,OVERTIME BAR AND GRILL,,All Alcoholic Beverages,,Restaurant,Annual,,,,42396.0,No,,,30,Great Road,,Acton,MA,01720,"30 Great Road , Acton, MA 01720","30 Great Road , Acton, MA 01720"
00036-RS-0006,Not Your Average Joes Inc.,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,ZACHARY STOVALL,NOT YOUR AVERAGE JOE'S,,All Alcoholic Beverages,,Restaurant,Annual,,,,42508.0,No,,,305,Main Street,,Acton,MA,01720,"305 Main Street , Acton, MA 01720","305 Main Street , Acton, MA 01720"
88970-PK-0006,Acton Liquor Corp,Corporation,Off Premise Retail,Issued,46387.0,Active,ACTON,Chirag Patel,Acton Liquors,All Alcoholic Beverages,,Package Store,,Annual,00017-PK-0006,Purchase,Wine Cask Cellars Inc,42767.0,No,,,100,Powdermill Road,,Acton,MA,01720,"100 Powdermill Road , Acton, MA 01720","100 Powdermill Road , Acton, MA 01720"
89035-PK-0006,Alby Corporation,Corporation,Off Premise Retail,Issued,46387.0,Active,ACTON,Anthony L. Buscemi,Buscemi's Townline Convenience,All Alcoholic Beverages,,Package Store,,Annual,00018-PK-0006,Purchase,Role Corp,42860.0,No,,,37,Main Street,,Acton,MA,01720,"37 Main Street , Acton, MA 01720","37 Main Street , Acton, MA 01720"
03502-RS-0006,El Huipil Acton Restaurant Corporation,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,Alma Lorenia Moreno,El Huipil,,All Alcoholic Beverages,,Restaurant,Annual,00038-RS-0006,Purchase,Jagdeep Corp,42934.0,No,,,273,Great Road,,Acton,MA,01720,"273 Great Road , Acton, MA 01720","273 Great Road , Acton, MA 01720"
89163-PK-0006,Pramukh Mahant Krupa Corp,Corporation,Off Premise Retail,Issued,46387.0,Active,ACTON,Santukumari Patel,Acton Wine & Spirit Co,All Alcoholic Beverages,,Package Store,,Annual,,Purchase,,43011.0,No,,,305,Main Street,,Acton,MA,01720,"305 Main Street , Acton, MA 01720","305 Main Street , Acton, MA 01720"
89950-PK-0006,RBSBW Inc.,Corporation,Off Premise Retail,Issued,46387.0,Active,ACTON,DAWN CLARK,Roche Bros Supermarket,Wines and Malt,,Package Store,,Annual,,,,44251.0,No,,,387,Massachusetts Avenue,,Acton,MA,01720,"387 Massachusetts Avenue , Acton, MA 01720","387 Massachusetts Avenue , Acton, MA 01720"
06433-RS-0006,RFG Golf LLC,LLC,On Premise Retail,Issued,46387.0,Active,ACTON,Robert Granahan,X-Golf Acton,,All Alcoholic Beverages,,Restaurant,Annual,,,,44519.0,No,,,145,Great Road,,Acton,MA,01720,"145 Great Road , Acton, MA 01720","145 Great Road , Acton, MA 01720"
06716-CL-0006,Concord Squash LLC,LLC,On Premise Retail,Issued,46387.0,Active,ACTON,John Bleuer,Concord Acton Squash Club,,Wines and Malt,,Club,Annual,00027-GP-0006,,Concord Acton Squash Club Inc,44670.0,No,,,29,Knox Trail,,Acton,MA,01720,"29 Knox Trail , Acton, MA 01720","29 Knox Trail , Acton, MA 01720"
07096-RS-0006,SANTA FE BURRITO GRILL ACTON LLC,LLC,On Premise Retail,Issued,46387.0,Active,ACTON,HECTOR ANGEL,SANTA FE BURRITO GRILL,,All Alcoholic Beverages,,Restaurant,Annual,,,,44831.0,No,,,297,Main Street,,Acton,MA,01720,"297 Main Street , Acton, MA 01720","297 Main Street , Acton, MA 01720"
90369-PK-0006,Eve & Murrays LLC,LLC,Off Premise Retail,Issued,46387.0,Active,ACTON,Dawn E. Aguiar,Eve & Murray's Farm to Home,Wines and Malt,,Package Store,,Annual,,,,44841.0,No,,,525,Massachusetts Avenue,Ste B,Acton,MA,01720,"525 Massachusetts Avenue Ste B, Acton, MA 01720","525 Massachusetts Avenue , Ste B, Acton, MA 01720"
07896-RS-0006,FIVE STAR JOLON INC,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,ELENI JOLON,,,All Alcoholic Beverages,,Restaurant,Annual,00039-RS-0006,,"FILHO'S GREAT ROAD, INC",45261.0,No,,,59,Great Road,,Acton,MA,01720,"59 Great Road , Acton, MA 01720","59 Great Road , Acton, MA 01720"
08346-RS-0006,Eve & Murray's LLC,LLC,On Premise Retail,Issued,46387.0,Active,ACTON,Tamara M. Deluzio,Silver Girl,,All Alcoholic Beverages,,Restaurant,Annual,,,,45498.0,No,,,251,Arlington Street,,Acton,MA,01720,"251 Arlington Street , Acton, MA 01720","251 Arlington Street , Acton, MA 01720"
08535-RS-0006,"Shake & Bake, LLC",LLC,On Premise Retail,Issued,46387.0,Active,ACTON,Crystal Blais,Velvet Vine Cafe,,All Alcoholic Beverages,,Restaurant,Annual,,,,45601.0,No,,,166,Great Road,,Acton,MA,01720,"166 Great Road , Acton, MA 01720","166 Great Road , Acton, MA 01720"
08642-RS-0006,BRACAMONTES INC,Corporation,On Premise Retail,Issued,46387.0,Active,ACTON,ADAN BRACAMONTES,LUNA MEXICAN CUISINE,,All Alcoholic Beverages,,Restaurant,Annual,,,,45672.0,No,,,20,Nagog Park,,Acton,MA,01720,"20 Nagog Park , Acton, MA 01720","20 Nagog Park , Acton, MA 01720"
08739-RS-0006,Seafood From Heaven LLC,LLC,On Premise Retail,Issued,46387.0,Active,ACTON,Ivan A. Valentin,The Atlantic Sea Grill,,All Alcoholic Beverages,,Restaurant,Annual,00003-RS-0006,,Great Road Seafood Sales LLC,45721.0,No,,,77,Great Road,,Acton,MA,01720,"77 Great Road , Acton, MA 01720","77 Great Road , Acton, MA 01720"
90970-PK-0006,RSY STORE LLC,LLC,Off Premise Retail,Issued,46387.0,Active,ACTON,SHASHIDHAR BOGELLI,ACTON CONVENIENCE,Wines and Malt,,Package Store,,Annual,00023-PK-0006,,Chaki Corp,45721.0,No,,,465,Great Road,,Acton,MA,01720,"465 Great Road , Acton, MA 01720","465 Great Road , Acton, MA 01720"
00010-RS-0008,Century House Inc,Partnership,On Premise Retail,Issued,46387.0,Active,ACUSHNET,Manuel A Goulart,,,All Alcoholic Beverages,,Restaurant,Annual,,,,30733.0,No,,,107,South Main Street,,Acushnet,MA,02743,"107 South Main Street , Acushnet, MA 02743","107 South Main Street , Acushnet, MA 02743"
00027-RS-0008,Town Of Acushnet,Association,On Premise Retail,Issued,46387.0,Active,ACUSHNET,James F. Kelley,ACUSHNET RIVER VALLEY GOLF COURSE,,All Alcoholic Beverages,,Restaurant,Annual,,,,36980.0,No,,,685,Main Street,,Acushnet,MA,02743,"685 Main Street , Acushnet, MA 02743","685 Main Street , Acushnet, MA 02743"
00002-CL-0008,Acushnet Post 265 Amer Leg Dept Of Ma Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ACUSHNET,Lionel Demars,,,All Alcoholic Beverages,,Club,Annual,,,,37581.0,No,,,71,Hope Street,,Acushnet,MA,02743,"71 Hope Street , Acushnet, MA 02743","71 Hope Street , Acushnet, MA 02743"
00008-CL-0008,Thomas E Tuttle Post 7239 Vfw Of Us Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ACUSHNET,PAUL ROBITAILLE,,,All Alcoholic Beverages,,Club,Annual,,,,37754.0,No,,,28,Roosevelt Street,,Acushnet,MA,02743,"28 Roosevelt Street , Acushnet, MA 02743","28 Roosevelt Street , Acushnet, MA 02743"
00015-PK-0008,Chit Chat Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ACUSHNET,Gary Hathaway,SCUTTLEBUTTS,All Alcoholic Beverages,,Package Store,,Annual,,,,37909.0,No,,,590,Main Street,,Acushnet,MA,02743,"590 Main Street , Acushnet, MA 02743","590 Main Street , Acushnet, MA 02743"
00024-RS-0008,D Marmelo Enterprises Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ACUSHNET,JOSE MARMELO,,,All Alcoholic Beverages,,Restaurant,Annual,,,,38061.0,No,,,162,South Main Street,,Acushnet,MA,02743,"162 South Main Street , Acushnet, MA 02743","162 South Main Street , Acushnet, MA 02743"
00007-CL-0008,Ponderosa Sportsman Club LLC,LLC,On Premise Retail,Issued,46387.0,Active,ACUSHNET,Steven H Koczera,,,All Alcoholic Beverages,,Club,Annual,,,,39490.0,No,,,242,Robinson Road,,Acushnet,MA,02743,"242 Robinson Road , Acushnet, MA 02743","242 Robinson Road , Acushnet, MA 02743"
00029-RS-0008,Kam Cuisine Corp,Corporation,On Premise Retail,Issued,46387.0,Active,ACUSHNET,En Fen Li,KAM CUISINE RESTAURANT,,All Alcoholic Beverages,,Restaurant,Annual,,,,39715.0,No,,,132,South Main Street,,Acushnet,MA,02743,"132 South Main Street , Acushnet, MA 02743","132 South Main Street , Acushnet, MA 02743"
89471-PK-0008,"Gayatri Mata, Inc.",Corporation,Off Premise Retail,Issued,46387.0,Active,ACUSHNET,Khushbuben Patel,Chuck's Liquor II,All Alcoholic Beverages,,Package Store,,Annual,88895-PK-0008,Purchase,"Chuck's Liquors II, LLC",43493.0,No,,,172-174,South Main Street,,Acushnet,MA,02743,"172-174 South Main Street , Acushnet, MA 02743","172-174 South Main Street , Acushnet, MA 02743"
05677-RS-0008,Pinky's Realty Corp.,Corporation,On Premise Retail,Issued,46387.0,Active,ACUSHNET,Nancy Johnson,Blue Lantern Cafe,,All Alcoholic Beverages,,Restaurant,Annual,00006-rs-0008,,Rascals Inc,44049.0,No,,,605,Main Street,,Acushnet,MA,02743,"605 Main Street , Acushnet, MA 02743","605 Main Street , Acushnet, MA 02743"
06323-GP-0008,JT Enterprises Inc.,Sole Proprietor,On Premise Retail,Issued,46387.0,Active,ACUSHNET,JUSTIN TAVARES,JT'S PUB,,All Alcoholic Beverages,,General On-Premises,Annual,04153-RS-0008,,Gonsalves Group LLC,44446.0,No,,,77,Slocum Street,,Acushnet,MA,02743,"77 Slocum Street , Acushnet, MA 02743","77 Slocum Street , Acushnet, MA 02743"
90234-PK-0008,NEW ENGLAND FARMS INC.,Corporation,Off Premise Retail,Issued,46387.0,Active,ACUSHNET,ERIC ROSENLUND,NEW ENGLAND FARMS,Wines and Malt,,Convenience Store,,Annual,,,,44663.0,No,,,158,Main Street,,Acushnet,MA,02743,"158 Main Street , Acushnet, MA 02743","158 Main Street , Acushnet, MA 02743"
06800-RS-0008,S.A.I. SILVA CORP.,Corporation,On Premise Retail,Issued,46387.0,Active,ACUSHNET,NATASHA SILVA,,,All Alcoholic Beverages,,Restaurant,Annual,00001-RS-0008,,Armands Of Southeastern Mass Inc,44701.0,No,,,6,Dayton Street,,Acushnet,MA,02743,"6 Dayton Street , Acushnet, MA 02743","6 Dayton Street , Acushnet, MA 02743"
90624-PK-0008,"Akant, Inc",Corporation,Off Premise Retail,Issued,46387.0,Active,ACUSHNET,Hevan Patel,Liquor Palace,All Alcoholic Beverages,,Package Store,,Annual,00014-PK-0008,,Silveira Co,45177.0,No,,,270,Main Street,,Acushnet,MA,02743,"270 Main Street , Acushnet, MA 02743","270 Main Street , Achushnet, MA 02743"
08375-RS-0008,RIVER'S END INC,Corporation,On Premise Retail,Issued,46387.0,Active,ACUSHNET,ERNEST P MEDEIROS,RIVER'S END,,All Alcoholic Beverages,,Restaurant,Annual,00012-RS-0008,,Ms De Silva Inc,45511.0,No,,,7 1/2,Tarkiln Hill Road,,Acushnet,MA,02743,"7 1/2 Tarkiln Hill Road , Acushnet, MA 02743","7 1/2 Tarklin Hill Road , Acushnet, MA 02743"
90982-PK-0008,Discount Town Liquors Inc.,Corporation,Off Premise Retail,Issued,46387.0,Active,ACUSHNET,Bhoomikaben Patel,Town Liquors,All Alcoholic Beverages,,Package Store,,Annual,89672-PK-0008,,,45740.0,No,,,1,Middle Road,,Acushnet,MA,02743,"1 Middle Road , Acushnet, MA 02743","1 Middle Road , Acushnet, MA 02743"
91144-PK-0008,GOLDEN LIQUORS CORP,Corporation,Off Premise Retail,Issued,46387.0,Active,ACUSHNET,GIRGIS E SHEHATA,BONVILLE'S MARKET,All Alcoholic Beverages,,Package Store,,Annual,89379-PK-0008,,"Murli Manohar, Inc.",45968.0,No,,,142,South Main Street,,Acushnet,MA,02743,"142 South Main Street , Acushnet, MA 02743","66 Washington Street , Acushnet, MA 02062"
00011-VC-0010,Adams Post 160 Inc The Am Leg Dept Of Ma,Corporation,On Premise Retail,Issued,46387.0,Active,ADAMS,Anthony Joseph Smachetti,,,All Alcoholic Beverages,,Veterans Club,Annual,,,,27022.0,No,,,160,Forest Park Avenue,,Adams,MA,01220,"160 Forest Park Avenue , Adams, MA 01220","160 Forest Park Avenue , Adams, MA 01220"
