objectid,county,name,type,notes,updated,agent_region,munidate,Shape__Area,Shape__Length
104,Conway,Historic Howard Rural Township,Dry,,,1,,145820655.67951676,67941.59475591063
105,Conway,Conway County,Wet,"Exception Cedar Falls, Austin, Howard Townships are Dry",,1,,1204702443.0080023,220346.6456551087
106,St. Francis,St. Francis County,Wet,Exception City of Wheatley and City of Colt are Wet,,6,,1646030407.5036933,228049.48051740025
107,Prairie,Prairie County,Wet,Exception Des Arc Township,,7,,1650689240.2145061,270855.830290895
108,Drew,Historic Veasey Township,Dry,,,8,,210254083.23797435,58511.14075450014
109,Benton,Benton County,Wet,2012 General Election Result,1352332800000,3,,2241444996.4833193,365817.8234866517
110,Conway,Historic Cedar Falls Township,Dry,Dry with ABC Permits,,1,,34580460.632113956,48876.994086626444
111,Pulaski,Historic Bayou Meto Township,Dry,Dry with ABC Permits,,1,,135724087.86340362,49991.628495770085
112,Montgomery,Montgomery County,Dry,Dry with ABC Permits,,10,,2072893569.4124637,187323.65842029284
113,Pike,Pike County,Dry,Dry with ABC Permits,,10,,1583865980.1227918,249700.24501251575
114,Pulaski,Historic Union Township,Dry,Dry with ABC Permits,,1,,89758319.21872012,37974.40714444844
115,Drew,Drew County,Wet,,,8,,358400295.6989005,127936.82971854832
116,Garland,Historic Farmer Township ,Dry,Dry with ABC Permits,,10,,38968977.6954176,32667.24846738211
117,Hempstead,Hempstead County,Dry,Dry with ABC Permits,,9,,1917232564.9812727,275151.84373659553
118,White,White County,Dry,Dry with ABC Permits,,6,,2697494616.3071375,339068.9244094089
119,Faulkner,Faulkner County,Dry,Dry with ABC Permits,,1,,1716900494.8427942,227681.47374793616
120,Yell,Yell County,Dry,Dry with ABC Permits,,2,,2444712146.327402,310980.3180691117
121,Bradley,Bradley County,Dry,Dry with ABC Permits,,8,,1689251141.8305945,254917.2113459323
122,Newton,Newton County,Dry,,,4,,2130834918.9349718,197716.51697587632
123,Drew,Historic Bearhouse Township,Dry,,,8,,153308203.5318543,54451.82434921247
124,Stone,Stone County,Dry,Dry with ABC Permits,,5,,1575275766.3510964,216278.14476894063
125,Scott,Scott County,Dry,Dry with ABC Permits,,2,,2325701549.3391,235602.53486653685
126,Polk,Polk County,Wet,,,10,,2223881559.2734857,248098.41992478145
127,Lincoln,Lincoln County,Dry,,,8,,1466863433.9978826,224711.5801888817
128,Howard,Howard County,Dry,Dry with ABC Permits,,10,,1524617999.0093741,282756.70312827895
129,Drew,Historic Clear Creek Township,Dry,,,8,,152198268.23505104,51045.62310911543
130,Drew,Historic Collins Township,Dry,,,8,,153486920.16904536,64521.43711713433
131,Garland,Historic Lee Township,Dry,Valid in 1930 through 1936,,10,,19905665.79322975,21391.982349837384
132,Garland,Historic Phillips Township,Dry,Valid in 1930 through 1936,,10,,70585117.24904417,34960.18498752958
133,Drew,Historic Cominto Township,Dry,,,8,,131466007.1150122,47683.900116174744
134,Drew,Historic Crook Township,Dry,,,8,,167056150.854694,58652.81068306276
135,Drew,Historic Franklin Township,Dry,,,8,,209748509.15765017,65443.335078280834
136,Drew,Historic Marion Township,Dry,Dry with ABC Permits,,8,,299671213.8984657,75610.5667036768
137,Drew,Historic Saline Township,Dry,,,8,,162167987.87628597,53053.84743333925
138,Drew,Historic Spring Hill Township,Dry,,,8,,166294316.17110285,53100.883537103604
139,Franklin,City Of Branch,Wet,Restriction: No Liquor,,2,1729641600000,8100339.46282206,17986.37782261311
140,Garland,Historic Baxter Township,Dry,Valid in 1930 through 1936,,10,,126298606.2397284,54818.18166227515
141,Garland,Historic Buckville Township,Dry,Valid in 1930 through 1936,,10,,62085765.50308902,36946.060339844866
142,Van Buren,Van Buren County,Wet,,,4,,1873577185.6365128,202839.56923961212
143,Lonoke,Lonoke County,Dry,Dry with ABC Permits,,7,,2079190473.1141772,249753.66229108404
144,Desha,Desha County,Wet,,,8,,2102060080.3405814,498826.7451283609
145,Phillips,Phillips County,Wet,,,7,,1880504238.854577,420756.272010436
146,Independence,Independence County,Dry,Dry with ABC Permits,,5,,1996635935.6983383,228800.311340655
147,Clay,Clay County,Dry,Dry with ABC Permits,,6,,1661978095.8932009,230199.48201931425
148,Randolph,Randolph County,Wet,,,6,,1697534939.5455213,222850.51129057384
149,Lawrence,Lawrence County,Dry,Dry with ABC Permits,,6,,1532942175.2386541,222913.40722598723
150,Baxter,Baxter County,Wet,,,5,,1516018164.4472153,224935.51287438616
151,Marion,Marion County,Wet,,,5,,1656524531.9235961,215792.13974974607
152,Perry,Perry County,Dry,Dry with ABC Permits,,1,,1450463028.8360858,239186.54579273443
153,Saline,Saline County,Wet,,,1,,1890364930.0099514,259301.3784820099
154,Crawford,Crawford County,Dry,Dry with ABC Permits,,2,,1566925821.9881082,226802.96928553138
155,Little River,Little River County,Wet,,,9,,1454948262.383376,334981.76997896924
156,Miller,Miller County,Wet,,,9,,1652796617.948229,283618.6872395175
157,Lafayette,Lafayette County,Dry,,,9,,1412441202.4248,246459.7653457362
158,Columbia,Columbia County,Wet,,,9,,1983090200.9458218,196047.7649293864
159,Ashley,Ashley County,Dry,,,8,,2434454609.097368,238029.3308590529
160,Chicot,Chicot County,Wet,,,8,,1788404776.518568,288640.7692102886
161,Madison,Madison County,Wet,,1352332800000,4,,2162346003.2050114,227495.1177978621
162,Sevier,Sevier County,Wet,,,10,,1504821528.8368995,254402.17112924447
163,Nevada,Nevada County,Dry,Dry with ABC Permits,,9,,1605404006.9514112,209749.1041399786
164,Clark,Clark County,Wet,,,10,,2284358763.7497525,315137.5138242599
165,Grant,Grant County,Dry,Dry with ABC Permits,,10,,1638125279.069697,193717.7015040424
166,Lee,Lee County,Wet,,,7,,1610527733.437912,272414.9680992203
167,Hot Spring,Hot Spring County,Wet,2022 General Election Result,,10,,1598491031.0968997,254325.95287296094
168,Pope,Pope County,Dry,Dry with ABC Permits,,2,,2148886139.613302,220995.4746002564
169,Johnson,Johnson County,Dry,Dry with ABC Permits,,2,,1770222530.2462265,208491.48707982904
170,Cleburne,Cleburne County,Dry,Dry with ABC Permits,,5,,1532702553.3725636,160144.04493185165
171,Washington,City Of Prairie Grove,Dry,Dry with ABC Permits,,3,1729641600000,21820425.030535076,36599.39971077519
172,Boone,Boone County,Wet,2012 General Election Result,,4,,1557954870.6443799,169617.71942738883
173,Searcy,Searcy County,Dry,Dry with ABC Permits,,4,,1729711351.8069417,184100.98347934562
174,Izard,Izard County,Dry,Dry with ABC Permits,,5,,1511435287.7331674,187595.66738572676
175,Fulton,Fulton County,Dry,,,5,,1605796304.790071,181669.57439742988
176,Sharp,Sharp County,Wet,Exception Cave City is Dry,1352332800000,6,,1565164948.782989,228223.22335122962
177,Sharp,Historic Cave City Township,Dry,,,6,,5539973.12717179,12285.097811191863
178,Carroll,City Of Green Forest,Wet,Restriction: No Liquor,,4,1729641600000,6388769.386127505,16843.642073835603
179,Craighead,Craighead County,Dry,Dry with ABC Permits,,6,,1846142138.154907,203047.02096111176
180,Washington,City Of Farmington,Dry,Dry with ABC Permits,,3,1729641600000,25570603.092153005,31669.84542004727
181,Union,City Of Strong,Dry,Dry with ABC Permits,,8,1729641600000,4176865.001360165,8435.886014697153
182,Sebastian,City Of Fort Smith,Wet,,,2,1729641600000,177502108.19356957,137751.7122025314
183,Sebastian,Historic Sebastian Township,Dry,Exception City of Fort Smith is Wet,,2,,1232011787.6031873,285682.0882681797
184,Lawrence,Powhatan Historic State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,65022.421913625,6186.302024642298
185,Greene,City Of Paragould Ward 4,Dry,,,6,1729641600000,23702217.45424429,38914.089478121
186,Poinsett,City Of Trumann,Wet,,,6,1729641600000,15227292.49468394,24419.07974745931
187,Poinsett,City Of Tryonza,Dry,,,6,1729641600000,4032697.28129065,14033.361921114221
188,Woodruff,City Of Augusta,Wet,Restriction: Beer Only,,6,1729641600000,5476741.52556086,22316.357858064715
189,Little River,Millwood State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,9,,3340287.93278427,13789.99925329208
190,Hot Spring,Lake Catherine State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,9150256.93021616,18038.859817077588
191,Cleveland,Marks' Mills Battleground State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,8,,25042.87821758,804.255670958795
192,Polk,Queen Wilhelmina State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,2042969.189368905,17865.880040753935
193,Benton,Hobbs State Park-Conservation Area State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,3,,48324233.07834788,112512.90214215832
194,Cross,Village Creek State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,20709984.813552257,20862.334859772043
195,Washington,Prairie Grove Battlefield State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,3,,3867997.988965305,10753.203905384229
196,Jackson,Jacksonport State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,747063.84142065,8867.73650769957
197,Ouachita,Poison Springs Battleground State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,9,,349364.98013533,2478.209971492759
198,Pike,Crater of Diamonds State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,3766256.833475095,10712.272666756153
199,Greene,Lake Frierson State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,485315.44411807,5984.946342194457
200,Arkansas,Arkansas Post Museum State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,33368.02188979,892.3193667567791
201,Garland,Lake Ouachita State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,1917448.51992867,14250.466691728727
202,Mississippi,Hampson Archaeological Museum State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,13536.48368603,832.704124592454
203,Grant,Jenkins Ferry Battleground State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,177176.968341855,1715.2899987268336
204,Lonoke,Plum Bayou Mounds Archaeological State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,724917.695794785,3620.5491585987925
205,Faulkner,Woolly Hollow State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,1,,1836824.915015765,7488.532332821542
206,Crawford,Lake Fort Smith State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,2,,1038770.359746595,9560.395482584272
207,Washington,Devil's Den State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,3,,9509699.312247375,22585.00984265071
208,Lincoln,Cane Creek State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,8,,8193434.588204065,23421.508506194452
209,Hempstead,Historic Washington State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,9,,501707.653727645,20374.880803099655
210,Prairie,Lower White River Museum State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,1728.96966996,169.88664863030232
211,Columbia,Logoly State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,9,,1488958.175204965,6206.612076890977
212,Pulaski,Pinnacle Mountain State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,1,,8271088.181910965,20888.334792925343
213,Poinsett,Lake Poinsett State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,622958.18347522,4095.811312047343
214,Fulton,Mammoth Spring State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,5,,251500.093565675,2578.4127685607737
215,Bradley,Moro Bay State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,8,,482230.57459792,3672.0158829032866
216,Greene,Crowley's Ridge State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,1198627.15746717,6681.893771233467
217,Stone,Ozark Folk Center State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,5,,2550338.703206005,9438.547999171165
218,Mississippi,Herman Davis State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,3377.09622928,275.80234597909885
219,Lafayette,Conway Cemetery State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,9,,46787.56242043,1371.7708264602368
220,Monroe,Louisiana Purchase State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,7,,81142.314247595,1208.2040403423416
221,Pulaski,Plantation Agriculture Museum State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,1,,60384.24740186,1165.5027209138575
222,Union,Arkansas Museum of Natural Resources State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,8,,77809.44832277,1328.355870559955
223,Union,South Arkansas Arboretum State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,8,,51444.494878555,1586.0311286040435
224,Hot Spring,DeGray Lake Resort State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,2686013.890722785,22068.79051393594
225,Howard,Cossatot River State Park-Natural Area,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,17218019.5696788,42074.466534217885
226,Pike,Daisy State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,10,,1305678.20417214,11107.791108511961
227,Madison,Withrow Springs State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,4,,3209993.074776615,9645.302058651892
228,Lawrence,Lake Charles State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,823802.466142935,7823.714832345748
229,Conway,Petit Jean State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,1,,11710688.324518295,35041.763308969756
230,Pulaski,War Memorial Stadium State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,1,,27903.044513045,670.5319782468272
231,Randolph,Davidsonville Historic State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,1278627.671513285,5828.830620205567
232,Desha,Delta Heritage Trail State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,8,,2343844.95189542,103191.18657328452
233,Perry,Lake Sylvia Recreation Area State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,1,,783130.96579826,3902.650655474669
234,Independence,Historic Cave City Township,Dry,,,5,,817970.55966176,4905.99662398871
235,Mississippi,City Of Dell,Dry,,,6,1729641600000,2390756.467177755,9698.42998085825
236,St. Francis,City Of Colt,Dry,,,6,1729641600000,3415428.27197417,8184.047460762165
237,St. Francis,City Of Wheatley,Dry,Dry with ABC Permits,,6,1729641600000,7958520.361365855,18590.667282254362
