county,wet_dry_status,notes
Benton,dry,Completely dry — no alcohol sales
Choctaw,dry,Completely dry — no alcohol sales
Prentiss,dry,Completely dry — no alcohol sales
Smith,dry,Completely dry — no alcohol sales
Walthall,dry,Completely dry — no alcohol sales
Webster,dry,Completely dry — no alcohol sales
