community_name,zip_code,restriction_type,wet_dry_status,restriction_description,limitation,effective_date,is_unincorporated
Nunam Iqua,99666,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,9/1/1986,False
Nunapitchuk,99641,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1986,False
Pilot Station,99650,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,4/1/2003,False
Platinum,99651,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,2/1/1982,False
Point Hope,99766,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1989,False
Point Lay,99759,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,8/1/1986,True
Port Alexander,99836,ban_sale,damp,Sale banned but importation for personal use allowed,,2/1/1982,False
Port Protection,99927,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,5/1/1988,True
Quinhagak,99655,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1987,False
Red Devil,99656,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,7/26/1990,True
Russian Mission,99657,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,2/1/2015,False
Saint Marys,99658,ban_sale,damp,Sale banned but importation for personal use allowed,Delivery Site,11/1/2006,False
Saint Michael,99659,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,9/1/1986,False
Saint Paul,99660,ban_sale,damp,Sale banned but importation for personal use allowed,,11/1/2007,False
Savoonga,99769,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,12/9/1997,False
Scammon Bay,99662,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1987,False
Selawik,99770,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,1/1/1987,False
Shageluk,99665,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,4/1/2001,False
Shaktoolik,99771,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,4/1/1984,False
Shishmaref,99772,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,2/1/1983,False
Shungnak,99773,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1987,False
Stebbins,99671,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1987,False
Stevens Village,99774,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,7/1/1984,True
Takotna,99675,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,12/8/1999,True
Tanacross,99776,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,6/1/1988,True
Tanana,99777,ban_sale,damp,Sale banned but importation for personal use allowed,Package Store and Beverage Dispensary,2/1/1982,False
Tatitlek,99677,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,12/9/1999,True
Teller,99778,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,1/14/1998,False
